"Summary: In an endless sea of sand drifts the Mud Whale, a floating island city of clay and magic. In its chambers a small community clings to survival, cut off from its own history by the shadows of the past. Chakuro is the archivist for the Mud Whale, diligently chronicling the lives and deaths of his people. But the steady pace of their isolated existence on the Mud Whale is abruptly shattered when a scouting party discovers a mysterious young girl who seems to know more about their home than they do.",1211232,,SF CHI: UME,188 pages : chiefly illustrations.,,,Viz signature edition.,,,9.78142E+12,,,Reads from right to left. Translated from the Japanese.,,"San Francisco, CA",2017,2017,,"story and art by Abi Umeda ; translation, JN Productions.",,Children of the whales. Volume 1,,,,,Monograph,graphic,,,,,"Umeda, Abi",,Viz Media,Children of the Whales; 1,"Archives - FictionIslands - FictionSurvival - FictionShipwrecks - FictionMagic - FictionArchivistsIslandsRemote communitiesSurvivalShipwrecksSorceryFictionMangaGraphic novels",,,
"Summary: It is year 93 of the Sand Exile, but the implications of that calendar are only now sinking in for Chakuro. Imperial soldiers from the Allied Empire have appeared out of nowhere with orders to kill all the ""criminals"" of the Mud Whale! The Committee of Elders knows why this is happening but still won't explain it to the young Marked of the island. And the elders would rather see the Mud Whale sink forever to the bottom of the Sea of Sand than leave them all at the mercy of the empire.",1211231,,SF CHI: UME,189 pages : chiefly illustrations.,,,Viz signature edition.,,,9.78142E+12,,,Reads from right to left. Translated from the Japanese.,,"San Francisco, CA",2018,2018,,"story and art by Abi Umeda ; translation, JN Productions.",,Children of the whales. Volume 2,,,,,Monograph,graphic,,,,,"Umeda, Abi",,Viz Media,Children of the Whales; 2,"Archives - FictionIslands - FictionSurvival - FictionMagic - FictionArchivistsIslandsRemote communitiesSurvivalSorceryFictionMangaGraphic novels",,,
,1231743,,HR 7: GIL,16 pages : colour illustrations.,,,,,,9.78017E+12,,,Running words: 158.,,"South Melbourne, Victoria, Australia",2017,2017,,story by Jenny Giles ; illustrations by Sarah Davis.,,Choosing a puppy,,,,,Monograph,text,,,,,"Giles, JennyDavis, Sarah",,Cengage Learning Australia,"PM guided reading. Yellow. Level 7; PM guided reading; PM library; ","Dogs - FictionPets - FictionDogsPetsFictionLevelled readers",,,
,1231584,,HR 13: 970.01 COL,"16 pages : illustrations (chiefly colour), portraits.",,,,,,,,,ISBN duplicated on all volumes in series. Guided reading: I ; Reading level: 13 ; DRA level: 13. Word count: 223.,,"Huntington Beach, CA",[2018],2018,,written by Anna Kirschberg.,,Christopher Columbus,,,,,Monograph,text,,,,,"Kirschberg, Anna",,"Junior Learning, Inc","Fantails book banded readers. Early level 4, Non-fiction; 6Fantails book banded readers; 6","Columbus, ChristopherExplorers, Italian - BiographyVoyages and travels - BiographyLevelled readersExplorersExplorationBiographiesNorth America - Discovery and explorationNorth America",,,
,1211318,,TR 371.33,Kit contains 2 black bags.,,,,,,,,,Each Kit contains:1 black bag (Whole kit content list; 4 alumimium light stands; 4 small black bags (Soft box light frams and white covers); 4 backdrop clips; 1 musline cotton green screen and 4 lights.1 black bag (Background stand (2 legs; 4 frame pieces; 2 screws and 2 locking studs)),,,,,,,,Chroma Key Green Screen Kit,,,,,Equipment,equipment,,,,,,,,,"ActingDrama in educationDrama - Audiovisual aidsAudiovisual equipmentVisual instructionTeaching - Aids and devices",,,Green Screen Kit
,1231429,,HR 11: KIR,16 pages : colour illustrations.,,,,,,,,,Guided reading: H ; Reading level: 11 ; DRA level: 12. Word count: 217. Based on the story by Charles Perrault.,,"Huntington Beach, CA",[2018],2018,,retold by Anna Kirschberg ; illustrated by Anna Evans.,,A Cinderella story,,,,,Monograph,text,,,,,"Kirschberg, AnnaEvans, AnnaPerrault, Charles",,"Junior Learning, Inc","Fantails book banded readers. Early level 3, Fiction; 8Fantails book banded readers; 8","Brothers and sisters - FictionSewing - FictionFolklore, French - FictionLevelled readersSiblingsSewingFolkloreFrench literatureFiction",,,
"Summary: Lizzie's joining the circus! Her sister Emma is a high-flying trapeze star, but Lizzie's terrified of heights! She's going to be a clown - the funniest around! Hotdog and Kev can't wait to see the show. Hopefully everything goes to plan! (Publisher)",1211389,,PF DO,122 pages : illustrations (some colour),,,,,,9.78176E+12,,,,,"Lindfield, NSW",2017,2017,,Anh Do ; illustrated by Dan McGuinness.,,Circus time! #3,,,,,Monograph,text,,,,,"Do, AnhMcGuiness, Dan",,Scholastic Press,Hotdog!; 3,"Dachshunds - FictionLizards - FictionCircuses - FictionDogsLizardsCircusFiction",,,
,1231476,,HR 9 307.76 KIR,16 pages : colour illustrations.,,,,,,,,,ISBN duplicated on all volumes in series. Guided reading: E ; Reading level: 9 ; DRA level: 10. Word count: 121.,,"Huntington Beach, CA",[2018],2018,,written by Anna Kirschberg.,,City life,,,,,Monograph,text,,,,,"Kirschberg, Anna",,"Junior Learning, Inc","Fantails book banded readers. Early level 3, Non-fiction; 3Fantails book banded readers; 3","Cities and townsCommunity lifeLevelled readersCitiesCommunities",,,
"Summary: Set 6000 years ago, this fast-paced adventure delves into a world of spirits and mysticism. Great immersive prehistoric setting, lovely animal characters (wolf cubs, owl, bear) and strong boy and girl characters, with the narrative switching between Tarin (boy) and Kaija (girl). Tarin is a terrific role model of a boy with a disability who overcomes many obstacles and learns to have faith in himself and recognise his many strengths. Badly injured and lost while fleeing the Boar Clan, Tarin, Luuka and Kaija take refuge with the peaceful Esi tribe during the harsh winter. As Kaija slowly recovers, Tarin's greatest wish is realised when he and Luuka join an Esi bison hunt. But with the arrival of spring, Tarin must continue his dangerous journey - even though his Offering is fast dwindling. (Publisher)",1231471,,PF SAN,331 pages.,,,,,,9.78014E+12,,,,,"Melbourne, Vic.",2017,2017,,Jo Sandhu.,,Clan of wolves #2,,,,,Monograph,text,,,,,"Sandhu, Jo",,Puffin Books,Tarin of the mammoths; 2,"Prehistoric peoples - FictionIce age - FictionVoyages and travels - FictionPrehistoryHumansIce agesTravelFiction",,,
,1211373,,CLA PMM3 GIL,16 p. : col. ill.,,,,,,170107035,,,&quot;Exploring: height. Strand: measurement&quot;-Back cover.,,"Southbank, Vic.",2003,2003,,"[text, Jenny Giles ; edited by Jacquie Kilkenny ; photography by Bill Thomas].",,The class photograph,,,,,Monograph,text,,,,,"Giles, JennyKilkenny, JacquieThomas, Bill",,Thomson Learning,PM maths;  bk. 12,"Photography - FictionLength measurement - Fiction",,,
"Summary: When Beck Granger follows a mysterious clue to the town of Broome in Northern Australia, it is just the beginning of an adventure that will force him into some of his toughest survival challenges yet! The search for clues takes Beck into the heart of the Outback, where he must battle raging storms, ravenous crocodiles, cunning villains and a secret that may link back to the death of his parents many years ago.",1255669,,PF GRY,247 pages : maps.,,,,,,9.78185E+12,,,,,London,2013,2013,,Bear Grylls.,,Claws of the crocodile,,,,,Monograph,text,,,,,"Grylls, Bear",,Red Fox,Mission survival; 5,"Survival - FictionSurvivalFictionOutback - Fiction",,,
,1231799,,HR 21: SUT,24 p. : col. ill.,,,,,,9.78017E+12,,,,,South Melbourne,2008,2008,,story by Kathryn Sutherland ; illustrations by Virginia Gray.,,Clean-up day,,,,,Monograph,text,,,,,"Sutherland, KathrynGray, Virginia",,Nelson Cengage Learning,PM early chapter books; Gold,"Cleaning - FictionFictionCleaning",,,
,1266387,,HR 27: 932 CLE,"48 pages : illustrations (chiefly colour), 2 maps.",,,Second edition.,,,9.78001E+12,,,Published in association with National Geographic Partners; adapted by Collins for readers of British English.,,London,2018,2018,,Barbara Kramer.,,Cleopatra,,,,,Monograph,text,,,,,"Kramer, Barbara",,Collins,"National Geographic kids readers. Level 4. Independent reader; National Geographic kids readers; ","Cleopatra, Queen of EgyptLevelled readersQueensEgyptian historyBiographiesEgypt - History - 332 B.C.-640 A.D., Graeco-Roman period - BiographyEgypt - Kings, queens and rulers - Biography",,,
,1265618,,CLA PREP RAN,16 p. : col. ill.,,,,,,,,,Text type: Narrative.,,South Melbourne,2009,2009,,story by Beverley Randell ; illustrations by Ben Spiby.,,Clever little dinosaur,,,,,Monograph,text,,,,,"Randell, BeverleySpiby, Ben",,Nelson Cengage Learning,PM benchmark;  level 9,"Dinosaurs - FictionFictionDinosaurs",,,
"Summary: Hundreds of trophies, awards and souvenirs fill the Batcave's hidden rooms. each one tells a story of danger, villainy and victory. This is the tale of a giant joker card! And why this trophy now stands in the Batcave...",1231387,,PF BAT DAH,36 pages : colour illustrations.,,,,,,9.78147E+12,,,,,Oxford,2017,2017,,by Michael Dahl ; illustrated by Luciano Vecchio ; Batman created by Bob Kane with Bill Finger.,,The Clown Prince of cards,,,,,Monograph,text,,,,,"Dahl, MichaelVecchio, Luciano",,Raintree,"Batman. Tales from the Batcave; Batman; ","Heroes - FictionVillains - FictionStealing - FictionHeroesVillainsTheftFiction",,,
"Summary: A traditional Dreamtime narrative, belonging to Matingali (Bridget) Napanangka Mudgedell from the Balgo Hills region of Western Australia. It tells the story of how the cockatoo, the crow and the hawk got their colours.",1231870,,TR AV KIT: NIC,[32] p. : col. ill.,,,,,,9.78188E+12,,,,,"Kingswood, S. Aust.",2002,2002,,belonging to Matingali Napanangka Mudgedell.,,"The cocky, the crow and the hawk",,,,,Monograph,text,,,,,"Mudgedell, Matingali Napanangka",,Working Title,Dreaming narrative; ,"Aboriginal peoples - DreamingCrows - FolkloreParrots - FolkloreHawks - FolkloreKukatja (Aboriginal people)Aboriginal peoplesDreaming (Spiritual)CrowsParrotsFolklore",,,
,1211286,,TR AV KIT: DUN,4x (28p. : col. ill.) + 1 CD,,,,,,9.78073E+12,,,A Lothian Children&#39;s Book.,,Sydney,2009,2009,,Kylie Dunstan.,,Collecting colour,,,,,Monograph,kit,,,,,"Dunstan, Kylie",,Lothian Children's Books,,"Basketwork - FictionAboriginal peoples - FictionBasketworkAboriginal peoplesFictionNorthern Territory - Fiction",,,
"Summary: In this book Suzie the Scientist and Millie the Mathematician help us learn how to collect and display data. Suzie helps Luke collect, sort and count sea shells, using tally marks and simple number facts. Millie the Mathematician then helps Luke make sense of the data by displaying them using tables, picture graphs and pie charts.",1266415,,CLA 1: BRE,16 pages : colour illustrations.,,,,,,9.78065E+12,,,"On cover: Written for the Australian Curriculum: Mathematics. On cover: Millie the mathematician says Let&#39;s learn about... collecting and displaying data. This book addresses content from the Statistics and Probability strand within the Data representation and interpretation sub-strand. The specifi Australian Curriculum content descriptor addressed is: &ldquo;Create displays of data using lists, tables and picture graphs and interpret them.&rdquo; (Back cover) Series illustrators: Carissa Harris, James Elms, Gemma Duffill.",,"Queensland, Australia",2018,2018,,"Gayle Brent, Randall Hall, Richard John.",,Collecting shells,,,,,Monograph,text,,,,,"Brent, GayleHall, RandallJohn, Richard",,Griffith University,Millie the mathematician; 24,"Mathematical statistics - FictionProbabilities - FictionShells - FictionMathematical statisticsProbabilitiesShellsStatistics and probabilityData collectionData representationFiction",,,
"Summary: Designed for all those learning Spanish at school, at work or at home. It provides easily accessible information in an attractively presented layout. Key grammatical points and hundreds of exercises are highlighted throughout the text as a means of reinforcement. In addition, a full glossary gives clear explanations of grammatical terminology. Provides beginners with all the regular verb forms and conjugations, and the most common tenses of irregular verbs are shown in full. (Publisher)",1231834,,TXT 468.2 COL,"xii, 294, 13 pages.",,,Second edition.,,,9.78001E+12,,,Text in English and Spanish.,,Glasgow,2016,2016,,"managing editor, Maree Airlie ; contributors, José A. Cálvez, Cordelia Lilly, Eduardo Vallejo.",,Collins easy learning Spanish grammar & practice,,,,,Monograph,text,,,,,"Airlie, MareeLilly, CordeliaVallejo, EduardoCálvez, José A",,Collins,Collins easy learning; ,"Spanish language - GrammarSpanish languageGrammar",,,"Spanish grammar and practiceEasy learning Spanish grammar and practice"
Summary: People have been fascinated by colour since the beginning of time. What is colour? What were the first colours to be used by early humans? Why do some languages not have a word for the colour blue? What is the darkest black in existence? Learn these facts and many more in The Colossal Book of Colour!,1265593,,JNF 535.6 HEN,64 pages : colour illustrations.,,,,,,9.78174E+12,,,,,"Clifton Hill, Vic.",2020,2020,,,,The colossal book of colours,,,,,Monograph,text,,,,,"Hendry, Lorna",,Wild Dog Books,,"ColourColour (Visual arts)",,,
